Product;Website;Affiliate/Partner Program;Program Source URL;Starting Price (USD);Pricing Model;Pricing Source URL;Trial / Demo;Trial/Demo Source URL;QuickBooks Integration Type;QuickBooks Source URL;Key Features (high level);Support Channels;Support Source URL;Last Verified (YYYY-MM-DD);Change Log (keep brief)
Jobber;https://www.getjobber.com/;Affiliate (publisher);https://www.getjobber.com/affiliates/;$39/mo (Core, monthly);"Per account; user caps by plan; add users extra";https://www.getjobber.com/pricing/;14-day free trial (no card);https://www.getjobber.com/pricing/;"Native QBO; one-way sync to QBO";https://www.getjobber.com/features/quickbooks-sync/;Scheduling, dispatch, quotes/estimates, invoicing, payments, client CRM, reminders;Phone, email, live chat, help center;https://www.getjobber.com/contact/;2026-01-06;Initial entry created.
Housecall Pro;https://www.housecallpro.com/;Affiliate (publisher);https://www.housecallpro.com/paid-affiliates/;$59/mo (promo/annual), $79/mo (monthly) for Basic (1 user);"Tiered plans; user limits by plan; larger teams quote-based";https://www.housecallpro.com/pricing/;Demo / get started (plan-dependent);https://www.housecallpro.com/pricing/;"Native QBO + QBD; QBO typically one-way (HCP ? QBO)";https://help.housecallpro.com/en/articles/6293215-quickbooks-online-syncing-information-from-housecall-pro;Scheduling, dispatch, invoicing, payments, customer communication, automation, marketing tools;Phone, email, chat/help center;https://www.housecallpro.com/contact-us/;2026-01-06;Initial entry created.
Workiz;https://www.workiz.com/;Affiliate/Partner (publisher);https://www.workiz.com/partners/join-partner-program/;"Free (Lite, up to 2 members); paid starts $225/mo (Kickstart, monthly, first 3 users)";"Tiered plans (monthly/annual); per-member add-ons by plan";https://www.workiz.com/pricing-plans/;7-day free trial (site states no card);https://www.workiz.com/pricing-plans/;"Native QBO sync; QBD integration available (docs)";https://www.workiz.com/integrations/quickbooks/;Scheduling/dispatch, estimates/invoicing, payments, price book/flat rate, automations, phone system add-on;"Phone, chat, email; help center";https://www.workiz.com/faq/;2026-01-06;Initial entry created.
ServiceTitan;https://www.servicetitan.com/;Referral program (appears customer-network based);https://www.servicetitan.com/referrals;Request pricing (per-technician pricing);"Per-technician; packages";https://www.servicetitan.com/pricing;Demo (request);https://www.servicetitan.com/pricing;Native QBO + QBD integration;https://help.servicetitan.com/how-to/qbo-setup;Dispatch/scheduling, invoicing, pricebook, reporting, memberships, enterprise features;Live chat & email (24/7), phone support (per docs);https://help.servicetitan.com/how-to/contact-support;2026-01-06;Initial entry created.
Service Fusion;https://www.servicefusion.com/;"Referral program (current users); publisher affiliate not clearly stated";https://servicefusion.zendesk.com/hc/en-us/articles/40417255660429-Service-Fusion-Referral-Program-Overview;$208/mo (Starter, billed annually);"Flat rate; unlimited users; annual discount";https://www.servicefusion.com/pricing;Free demo (no trial indicated on pricing page);https://www.servicefusion.com/pricing;Supports QuickBooks Online + Desktop (vendor states);https://www.servicefusion.com/pricing;Scheduling/dispatch, invoicing/payments, text alerts, reporting, GPS fleet tracking add-on, price book;"Email, phone; live chat (logged-in); knowledge base";https://servicefusion.zendesk.com/hc/en-us/articles/360029287911-Contacting-Service-Fusion-Support;2026-01-06;Initial entry created.
FieldPulse;https://www.fieldpulse.com/;"Referral program (customer-only); publisher affiliate not clearly verifiable from official pages";https://www.fieldpulse.com/company/referrals;"Request pricing (custom quote; per-technician)";"Per-technician; custom quote";https://www.fieldpulse.com/pricing;Demo (request);https://www.fieldpulse.com/pricing;Syncs with QuickBooks Online + Desktop (vendor states);https://www.fieldpulse.com/company/partners/quickbooks;Scheduling/dispatch, estimates/invoices, automation, pricebook, multi-location, add-ons (VoIP, fleet);"Email + live chat; phone listed for AUS support (check region)";https://help.fieldpulse.com/en/articles/9117978-contact-us;2026-01-06;Initial entry created.
Kickserv;https://www.kickserv.com/;Referral program (credits);https://www.kickserv.com/referralprogram;$60/mo (Start, 5 users);"Flat rate by plan; user caps; annual discount; 30-day free trial";https://www.kickserv.com/pricing;30-day free trial (pricing page);https://www.kickserv.com/pricing;"Native QBO (two-way per vendor page); QBD available (add-on noted)";https://www.kickserv.com/integrations/quickbooks-online;Scheduling/dispatch mapping, invoicing, reminders, time tracking, reports, payments, price book/flat rate;Phone + email (support);https://www.kickserv.com/contact;2026-01-06;Initial entry created.
FieldEdge;https://fieldedge.com/;"Partner inquiries page; publisher affiliate not clearly stated";https://fieldedge.com/contact/;Request pricing (quote-based);Quote-based (customized by plan/add-ons);https://fieldedge.com/pricing/;Demo (request);https://fieldedge.com/pricing/;Native QuickBooks integration (vendor states real-time sync);https://fieldedge.com/partner/quickbooks/;Dispatch/scheduling, invoicing, payments, flat-rate/pricebook, field mobile, QuickBooks-focused workflows;"Support portal/help center; support email listed in portal";https://xplorcontactcenter.my.site.com/fieldedge/s/;2026-01-06;Initial entry created.
mHelpDesk;https://www.mhelpdesk.com/;Not found in quick check (treat as unknown);;$169/mo (Pro, up to 3 users) (third-party listing);"Tiered plans; per-user add-ons (verify with vendor)";https://quickbooks.intuit.com/app/apps/appdetails/mhelpdesk/en-us/;Demo / see in action (vendor);https://www.mhelpdesk.com/;QuickBooks integration (vendor feature page);https://www.mhelpdesk.com/features/quickbooks-integration/;Scheduling/dispatch, invoicing, reporting, payments, customer management;Not captured (needs vendor support page verification);;2026-01-06;"Initial entry created; support channels pending."
ServiceTrade;https://servicetrade.com/;Not publicly stated (unknown);;"Request pricing; starts at 5 techs (Select plan)";"Per technician; office users free; minimum tech count";https://servicetrade.com/pricing/;Demo (request);https://servicetrade.com/pricing/;"Integrates with QuickBooks Online + Desktop; clean one-way data flow described";https://servicetrade.com/blog/hidden-cost-broken-accounting-integrations/;Commercial service ops, scheduling, invoicing, portal, QuickBooks integration, live support window;Live support hours published on pricing page (plus vendor support);https://servicetrade.com/pricing/;2026-01-06;"Initial entry created; affiliate program unknown."
